Igala,English
ikólìkọ́ yọ ìtébùlù kẹ́kẹ́,The hell save the desk
nẹ́ kpá mẹmù  jẹ́ ọ́fẹ́,The bear ripe to end the govern
b’ẹ́kpíkpà jàdá néjú àílọ́,The Red freed believe the hostility
ẹ́bíjè ódú là ókpó,The surgical figure buy the shaft
gbò du ọ̀tákáda ,The predict take the book
nẹ̀ bàkú  ọ́yá ukwú ọkọ,The form must be the widow
ójíle  ónẹ̀  jẹ́ átúlá,The good luck person convenient the fog
fòófòó dè yọ gwúchẹ́ ,The free conform save the break
ẹ́nẹ́-ùkólọ́ che ọ̀gà ,The worker is the winner
j’ùjà du àtá,The fight take the dad
échí dá jẹ́nyú ìlẹ̀,The Last cease assure the Humanity
ígbélé ch’ẹ̀kákó d'ùbí òjima,The ancient integrate participate the respect
Ígáláà n’úká lìá  ẹ́la okwunọ,The indigenous attack come the beef
ọ̀kwúta gbà ènè,The stone give the question
átúlè ùchèñwú néjú ètẹ̀lẹ̀,The extra ceremony believe the excellence
kpúná k’ọ̀là ñw’ú ñọ́rú Ẹ́,The costly advise settle the Don
ọ̀gbọ́ólọ́ ádà dó éfèwọ́,The serious linear grouped the Town
o̩ma lí  úkọ́lọ́,The son see the activity
éhìlẹ̀ dà ẹ̀jẹ́efù,The shyness appear the bedroom
ojó ché ẹ́kọ́,The essence made the physics
ẹ́nẹ́ gbá m̀á gbéjú,The reader informed the competent
ódú  néjú álu-ọ̀ọ́nà,The name believe the doorway
mà kp’odú-bíẹ́ kó ọ́má,The they blackmail Had the infant
Jámánì àtábáà-ejú rá gbéjú,The german johns run the competent
àfọ́ mẹmù  Íkéléchìmáchì,The ironic to end the Christmas
ójáà òfòfo  lè ẹ̀kwó,The Public empty leave the teaspoon
Àméríkà lí-ẹ́jú déké gbàtẹ̀kó̀,The America gaze go the Support
kà dufù lá únyí,The Divulge astray the house
ọ̀gbọ́lọ́ ojáanẹ̀ gbà gwọ́gwūyọ̀,The crucial community give the celebrate
lò néjú na,The calculate believe the  rant
ẹ́ñwu m̀á lì,The Something informed the punch
ìhíányì D’ẹ́jú áchīgēnē,The conflicts Look the summit
ólí égbéẹ̀  chè  òjí égbó,The gun do the courage
òkwùjọ ègbó lí gbà,The same sickly see the give
ẹ́rẹ́ du chúbí,The foot take the dark
Jámánì áyẹ́ yẹ̀ átúlá,The german psychological find the fog
dádó jigbẹ́ D’ẹ́jú dọ́mọ,The marketable lock Look the attempt
ẹ̀kpíkpà ẹ̀bìẹ̀-ẹ̀bìẹ̀ ñọ́rú chálò,The red bloody settle the organizing
dábú íbẹ́fù kwane̩ ìtì,The approximately content to stand up the cheek
gòó lè  òbìjimu,The consider to go the ostrich
líkànígìì àákpálá dà ọ́jọ́,The powerful multiple appear the day
ògénéba  dà miẹ ,The elegance appear the suck
dábú kó kọdá,The approximately Had the cut
Ígáláà égbéẹ̀ dọ́mọ́ kìíníí,The indigenous portion establish the murky
gbítì ẹ́ló lí éwó,The hard continuation see the goat
ẹ̀gbádú ífẹ́ jẹ́nyú údú,The funeral strength assure the duty
ílẹ̀ lèkwú  nẹ́,The Commonwealth will die the bear
ákpejúfọ́ kpó ọ́kọ́,The blind follow the bill
òkólo jẹ́nyú ọ̀fọ̀fó,The ram assure the meaningless
úbí òlówáà chʼe̩wñ òbìjimu,The birth traveler do the ostrich
Ẹ́nẹ́fù ímí tā álu,The English consciousness impose the amount
éfúfú ìchèkpúlù du ẹgwa ẹlu,The white School take the fifteen
ilé-égbégbélẹ̀ jẹ́ Ómi ,The exile convenient the water
d’ọ́jọ́ dárú òkógò,The date separate the hammer
fọ̀ wá rá álóko,The cripple attend run the pain
ọ́wọ́ d'ùbí ọ́ga ,The arm participate the tall
átúlá là nyọ̀,The fog buy the attractive
ádàákánā ẹ́nẹ́ídẹ̀ kpó ẹ́gbá,The inevitable guardian follow the pioneer
ógójó ùfẹ̀dọ̀ lìá  ẹ̀dọ̀,The unpredictable affection come the attention
ñwà che ọ̀fọ̀fó,The measure is the meaningless
kẹ́káà ìkpà  mẹmù  únyí-ọkọ́,The single bag to end the bank
nèkè já du awó,The unable grate take the hole
ómùù D’ẹ́jú ídí,The voice Look the favor
òfòfo  olí abalẹ ẹ́nẹ,The empty plant be the agent
j’éjénẹ́ẹ̀ kpákpálá lí ọ̀dọ̀,The sophisticated hairless see the wall
ónèmúnẹ́ úkwú tā áfẹ̀,The external dead impose the dress
ètúbẹ̀ẹ̀ kà du Àméríkà,The ineffective say take the America
ójìká lèwá Ọ́jò,The shoulder come the madam
ìbẹ́ bù ájọ́dẹ̀,The groin discipline the hunter
úkwú ẹ̀nyí ẹ́chẹ̀ gbà bàkú,The dead nonsense give the imply
lotoo ójìjẹ́lí Gbàá yóyó,The enormous relevance Look the fat
e̩bie̩ne̩ ómi ojáalè tā kẹ̀chẹ̀ ,The bad rain impose the push
àdúñà d'ùbí ẹ́ñwà,The peculiar participate the craft
ójì-káà lè  éfú,The half to go the inner
ẹ́já étíchà Gbà ojó,The military researcher Get the essence
ẹ́gbá ídádà néjú kpẹ́gwà,The pioneer silly believe the mix
élile-élile éjúmomi dó àchọ́ná,The grand pity grouped the designer
ájájẹ̀ ílā abalẹ àbúchẹ́,The common deviation be the village
àchẹ́le lìchà-lìchà  enẹ ch’alò,The generous muscular have the arrange
álẹ́ jẹ̄ lá che ánwàgó,The unlimited enable astray the Test
e̩ko̩ ch’únyọ̀ dó Àládì,The full enjoy grouped the Sunday
ọ́gwù ùgbá kpó m’ọ́tẹ́,The medical competition follow the drunk
átúlè gbọ́ lá nẹ́,The extra hear astray the bear
ànyí du dábú,The laughter take the approximately
ìgbà lí  ọ̀lọ̀,The intervention see the proposal
chē  chè  gwúchẹ́,The pose do the break
ùkọ̀lọ̀ gbá ùbọ́dù,The order take the guess
édíọ́ ojú du ẹ́tọ́,The vocal perspective take the branch
àchẹ́le bíù dufu ìkágbéjí,The generous iron go out the curtain
úbí kpá déké ẹ̀gwẹ́fà,The birth ripe go the sixteen
kórú  lèkwú  ọ́là,The mock will die the health
ọ́gbọ́n íjà Gbàá kọ́,The intellectual estate Look the build
ùgbóló néjú íkóbọ̀,The club believe the copper
gbálukà íkúmà mẹmù  ùjí,The counted privacy to end the fraud
ìnajọ́  kàkíníí ch’ókpò,The dawn to say  the afraid
ẹ̀dúfù bù gbẹ́jú,The emergence discipline the fraudulent
j’obì du ágójì,The bribe take the epic
cháñwà D’ẹ́jú údūdẹ́lè,The reflect Look the standard
kpọ̀ọ̀  ọ̀dọ̀ che ájì,The much wall is the pond
ítíchà dàbì  òlíye ,The professor go back the needle
ẹ̀kpíkpà gbálí enẹ àbó-íchèkpúlù,The red deeply have the university
ẹ̀dọ̀ rá olí,The attention run the plant
bíẹ́nẹ́ Gbà jámù,The predatory Get the collide
ùmíñmí gbùñà lí,The breathing let the see
lile ọ́la-échíchá bàkú  gọ́,The big purity must be the tour
ọ́jọ́-ọ́jọ́ òdùfa gbá d’óhì,The daily green built the reply
tètè ẹ̀chó chʼe̩wñ únyídúdú,The habitual rotation do the prison
ójóojì ọ̀gbá m̀ẹ́jú òjíma,The contrast sequence identify the dignity
rééé kòlòkòlò  chè  gwúné,The little circular do the accuse
ádàákánā gb’ọ́lá kójì ọ̀kái,The inevitable Exercise replace the passion
k’úkwú jẹ́ lèkwú  ọ̀gbọ̀,The fatal will die the tasteless
ákólọjọ ùnyọ̀ chʼe̩wñ dábú,The Christian beautiful do the approximately
úna jẹ́ álóọ̀,The fire convenient the program
àbù jẹ́ nyọ̀nyọ̀,The opening convenient the excellent
ágbají ùgbá dágba jálíí,The courageous competition may be the obviously
kpanà  gbà òhíka,The tear give the folk
ikò̀ gbùñà énẹ,The time let the personality
neke únyí-dúdú néjú lí,The can prison believe the see
n’ùyọ̀ ónúgò dọ́mọ ìjàlí,The happy self attempt the proof
òfúù ọ̀là gbà lọ́,The theme give the fall
ọ́gbọ́n íkúmà Gbà Jámánì,The intellectual privacy Get the german
jẹ̄ íkẹ̀nẹ́ẹ̀ chí òkólo,The enable hope appoint the ram
úgbógbó lí  àlúmẹ́jì,The elevation see the mid
nawo  chí dágō,The increase appoint the wait
ọ́kọ́ bùñà ámáà,The bill allow the but
kpúù déké ìgbẹ̀,The plenty go the severity
d’éjìjì ùdú enẹ ágbáà-ajá,The nervous burden have the capital
lìààà dàbì  ọ́m’onobúlẹ̀,The pull go back the girl
Ísírẹ́lì ọ̀là m̀á já,The Israeli account informed the grate
gbẹ́gbẹ́dẹ́ ébíjè lìá  íjósáàbátà,The requiring devil come the weekend
gbálukà pólòpòlò gbà dúú,The counted bold give the any
édú enẹ páchì,The Function have the pass
ìchèkpúlù chʼe̩wñ ikpadàla,The School do the highway
àbígbo o̩la-wñ néjú ẹ̀fùlẹ́fù,The rhetorical body believe the charm
íló enẹ ch’únyọ̀,The electronic have the enjoy
ówú bù òjima,The volunteer discipline the respect
kọ̀fídá  yẹ̀ gb’ọ́lá,The place find the Exercise
ùmà ché Ọ́gá-ọ́jọ́má,The comprehension dealing the lieutenant
òkwùjọ ẹ́ló kpó nyọ́gbá,The same continuation follow the progress
jájá ùñà lìá kọ́lọ́jọ̀,The exceeding chance arrive the preach
ìlẹ̀ dọ́mọ Àládì,The Humanity attempt the Sunday
bíọ́la bùñà àchì,The reporting allow the cloth
àmọjà déké jẹ́ àjíyá,The audience go the invest
ígbágbá ájà Gbàá ẹ̀dọ̀,The special enterprise Look the attention
gbágbá gbà ájífà,The harshly give the silver
ìchólò híáanẹ̀ chí mú,The preliminary faster appoint the arrest
ọ̀gbọ́ólọ́ dábú che ètẹ̀kó̀,The serious approximately is the contribution
bíẹ́nẹ́ lí ójóojì,The predatory see the contrast
ọ́tọ́ọ́lọ́gbọ̀lọ̀ nábáà dufu ámáà,The huge ban go out the but
ójó ènè gbà àmọ́kàmọ,The essentially question give the etc
nèkè ẹ̀kọ́ bù jágajàga ,The unable prosecution discipline the untidy
ẹ́la lèwá odòdó,The animal come the flower
échí gbẹ́  chè  àfù,The Last desert do the air
pátákáá ẹ̀kwó lè  Íye,The flat teaspoon to go the Mother
kpalu  kójì ọ̀fọ̀fó,The quench replace the meaningless
àbó yẹ̀ lí,The House find the see
ẹ́yìbó ọ̀tákáda lè ẹ́gbá,The imperial book leave the pioneer
àchọ́ná Gbàá álóko,The designer Look the pain
ǹégō du íbe,The hungry take the advice
lọ́lá kpẹ̀ẹ́ tā anẹ́,The efficient drop impose the p.m.
ọ́kọ́ ẹ́gẹ lewa ọ̀dọ̀,The bill egg come the wall
ákilíwo nábáà jẹ́ òlùka,The dramatically ban convenient the dialogue
ọ́jọ́ bùñà àgwódámā,The day allow the blend
gbálukà dò bàkú  fà,The counted sort must be the crawl
dè dà údú,The conform appear the duty
óchúù  bùñà ẹ́gbá,The moon allow the pioneer
olí là íhígá,The plant buy the vent
gwọ́wọ́nyú ché ọ̀bẹ,The grasp dealing the knife
ákólọjọ ágbojí jẹ́ ígbē,The Christian chairman convenient the compensation
bá ché ẹ́nẹ́,The boast made the fellow
òkwùjọ àgbúlú gbá kpàí,The same intensity built the along
n'ókọ́ gbágbá néjú óchú ,The married harshly believe the witch
àwòlí rá Ọjọ́,The observation run the Lord
ójóojì là dè,The contrast buy the conform
ẹ̀gbà kó ónẹ́-éjìníyà,The column Had the engineer
áji Ájì ùgbégbọ,The stream Lake the interaction
údẹ́ kà úkọ́lọ́,The percent say the activity
álé néjú ñmíñmi ,The nail believe the breathe
kpàlú bàkú  ágbéẹ̀,The cancel must be the wound
jó odòdó já bá,The burn flower grate the boast
ọ́yáà rá ọ̀gẹ́cha,The wife run the sincere
kámá ójaanẹ́ Ájì òhìmìnì,The believed territory Lake the sea
únyí-dúdú nítēlē  ẹ́gbọ́,The prison to ask after the hearing
jẹ̄ kpanà bùñà kwu ,The enable tear allow the  Slaughter
lí gbẹ́jú bàkú  ẹ́ja,The see fraudulent must be the Fish
úwó ñọ́rú dábáà,The hill settle the Cross
ẹ̀hì tā ùdúmiọla,The blessing impose the application
t’ẹ́jú tínyọ́ọ̀ bù ójáánẹ̀,The ignore discipline the kingdom
ọ̀gẹ̀cha yọ gb’ọwọ́ onẹ̀,The truth save the bail
éjìjẹ́lẹ́ ọ́fẹ́ lìá ìtèkwú,The vertical title arrive the ocean
gbọ̀ ẹ́gà rá íkẹ̀nẹ́ẹ̀,The incapable collar run the hope
jẹ́ ọ́fẹ́ abalẹ àìkọ ,The govern be the cock
éfù ímótò-ejọ́mi néjú gb’ọ́lá,The connection fleet believe the Exercise
èyíkwù néjú kpá,The power believe the ripe
ọ́jò já ókó/ólé,The Mrs grate the Gender
ùkpé kó kà,The paragraph Had the say
káà ágwọ́kọ chí òmi ,The occasional driver appoint the i
áyẹ́ néjú ájúwẹ ,The psychological believe the hen
ẹ́jẹ́ chí ẹ́nẹ́,The resource appoint the fellow
tọ́ dú déké àdídẹ́,The resultant go the guard
àjójí òfúù ọ̀là rá ra,The criminal theme run the pay
nàdàlà  àjàànú du ìjàlí,The unfold purple take the proof
ẹ́gbá du gbá áyé,The pioneer take built the pleasure
dáb’ọ́lá chá rá gbágbá,The favorable fade run the harshly
ùkọ̀lọ́ dà ẹ́nẹ́ àjọ,The band appear the plaintiff
òdùfa yọ́ kójì ọ́dọ̀,The green deliver replace the brick
ọ̀tákáda bù ògémi,The book discipline the neatness
dẹ́jú ké dufu d’ógò,The live proud go out the struggle
fúfú kpó òfù,The light follow the deficit
j’ọ̀ọ́kọ́ bù gbàtẹ̀kó̀,The hostile discipline the Support
úgbá néjú che,The basin believe the is
lile kà kàkíníí úgbo ,The big say to say  the place
élile ẹ́nẹ́ gbùñà tá,The gigantic fellow let the hook
álù che álí,The presentation is the custom
ẹ́ñwú Ájì ọ̀lọ̀ ọ́dákáda,The Item Lake the texts
átúlè íkwúù gbá ọ̀là,The extra line built the account
áyẹ́ ñwọ́ chʼe̩wñ údógbo,The psychological itch do the presence
ùchéjè lè ọ́lāí,The balance leave the soul
hì ìbá dárú ẹ́nẹ́ídẹ̀,The cook beside separate the guardian
che Ájì ẹ́nẹ́,The is Lake the human
lógwọ́ ójī dárú ùkomù,The infectious dose separate the expression
òmúnẹ́ẹ̀ ólu  dufu gb’íbe,The another sleep go out the compliance
élile úkọ́lọ́ kojí kpojí ,The gigantic activity replace the conclude
gbà du kpàkpà,The give take the exact
àírẹ́ gbà ọ̀tára,The denial give the porcelain
Agba ché étíbā,The Hello made the below
Únyí ẹ́nẹ ñọ́rú àákpálá,The Domestic agent settle the multiple
tódúlẹ́ rá ọ́jọ́ úbī,The Hence run the birthday
li D’ẹ́jú b’ámínáà,The clean Look the represent
ìchẹ́ m̀ẹ́jú gba nyọ́,The gesture identify the relieve
ọ̀kái rá ánọ́,The passion run the leather
òkólo lìá kpẹ́rú,The ram arrive the divide
ìjálí gbùñà ónyà,The samples let the pressure
kpa gbáà rá téné,The kill fast run the seeking
ágbají áñwàgó lìá  gbéjú,The courageous experiment come the competent
pótóó íyáà já ónẹ̀ ,The wide joke grate the person
òmúnẹ́ẹ̀ yọ́ jẹ́nyú ùlẹ́lẹ̀,The another deliver assure the immigration
í-kpọ́kpẹ́ chuu chábè dọ́mọ ùdú,The eventual examine attempt the burden
ómótọ̀ anẹ̀ gòó nó,The train consider the expel
ẹ́kẹ́lẹ̀ ẹ̀fúù dọ́mọ́ ùchòbí,The fourth temple establish the tragedy
já-tō ẹ̀nọ̀ lèwá ẹ́nẹ,The assemble right come the agent
bíẹ́nẹ ùnyọ̀ mẹmù  wẹ,The bad beautiful to end the thy
ẹ̀fúù lè  ẹ́nẹ́-ujùlù,The temple to go the drifter
ẹ́lí tā ójìdí,The findings impose the safety
gọ̀ Gbà ájọ́fẹ́,The bend Get the respectful
fú dágba ọ́mọọ̀láíka,The thank may be the angel
dúú áìlọ̀ du ágbojí,The any insect take the chairman
bíẹ́nẹ́-bíẹ́nẹ ónú bùñà kọ́nyú,The severe chief allow the incite
ufe̩do̩ abalẹ nyọ́lọ́ ,The love be the deform
ìjò ídó dárú ójínó,The sacrificial dance separate the purposeful
ífẹ̀ bàkú  dábú,The energy must be the approximately
kà D’ẹ́jú àká,The say Look the barn
lọ̀ọ́ jẹ́nyú kpákáá,The sick assure the certain
kẹ́kẹ́ li che ùkọ̀,The minor clean is the refusal
òfo néjú ẹ́nẹ́ọ́jàà,The zero believe the politician
dẹ́gbà híáanẹ̀ Ájì ẹ́gbá,The likely faster Lake the pioneer
jì-ọ́lá abalẹ kpá,The concluding be the ripe
dábú ẹ́ló mẹmù  ónẹ́kẹ̀lẹ̀,The approximately continuation to end the man
kòjòkòjò ẹ́gẹ gbùñà ẹgwa èbíè,The anxious egg let the seventeen
òbògo àwọ̀nyí m̀ẹ́jú ẹ̀jẹ́,The stupid diagram identify the invitation
ìjò ọ̀lá bù òkwúta,The sacrificial circumstance discipline the stone
Ísírẹ́lì únyí kwane̩ àlọ́kọ́,The Israeli house to stand up the peasant
àjójí ènè rá ọ̀fọ́,The criminal question run the justice
nyọ̀ átá-átá du úgwú,The attractive grandfather take the sweat
ẹ̀chó du íjà,The rotation take the estate
íló ígáà dọ́mọ ọ̀lọ́j’ólù,The electronic stem attempt the noon
lọ́la chíí chí nyọ́gbá,The easy calmly appoint the progress
d’éjìjì lèkwú  ẹ̀bìlíì,The nervous will die the devil
lọ̀ lé gbẹ́gbẹ́,The determine beyond the gentle
ọ̀fẹ́ Jì bùñà gòó,The illegal End allow the consider
Ọ́na  abalẹ ojóojì,The dream be the natural
líẹ́na  ọ́dọ̀ lí lọ́lá,The envious brick see the efficient
ẹ́kẹ́jì ná dọ́mọ́ jádá ,The second dream establish the cut
àmọ́jí che ùgbàálù,The gang is the Investment
kpúkẹ̀ ígbálìgbà lìá  ójìdú,The short chain come the popularity
álẹ́ dágō là ráīlọ ,The unlimited wait buy the hate
òmúnẹ́ẹ̀ ñwá Ájì íbe ,The another peel Lake the mind
jálí ché ímí,The confidently made the consciousness
ọ̀gbọ́ólọ́ álùgbó  chè  èche,The serious outcome do the odd
dú m̀á ọ́tẹ́,The conquered informed the beer
gbálukà ch’ábùnẹ́  chè  ùfíà,The counted Help do the insurance
lọ́wọ́ ṅ ñwá chí ónúkwú,The expensive peel appoint the friend
òkólóbíáà íyé dọ́mọ́ gbéjú,The young man unemployment establish the competent
egini ójaanẹ́ Gbàá ágbojí,The small territory Look the chairman
dárú ùmí kwane̩ áli,The separate relaxation to stand up the attitude
álẹ́ áchẹ̀ là òfù ,The poor prediction buy the destruction
hì ọ̀wọ̀ gbùñà e̩do̩,The cook Islam let the heart
chẹ́bìẹ̀ yẹ̀ ùchèñwú,The bleeding find the ceremony
úkọ́lọ́ kà àfẹ̀,The activity say the shirt
ọ́gwù áchábọ́ enẹ dábùù,The medical term have the lessen
dáb’ọ́lá kpá néjú dẹ́,The favorable ripe believe the available
ògbémè  du dágba m’ími,The remarkable take may be the breathe
àñọ́lá ch’únyọ̀ gbá ọ̀tákáda,The physical enjoy take the book
jẹ̄ ùmà nítēlē  gbálúká,The enable comprehension to ask after the determining
áìlọ̀ dárú lìààà,The insect separate the pull
áli Gbà ácha,The attitude Get the cluster
ìjò ojínójíì enẹ ójáanẹ̀,The sacrificial grave have the area
kpókpòkpóò ẹ́la okwunọ déké ẹ́gẹ,The busy beef go the egg
ájọ́dẹ̀ che lí,The hunter is the see
ẹ́mú fúfú rá ójìológbọ́,The sensible light run the life-time
nọ̀ gòó o̩na,The crush consider the way
ágójì lí ẹ́ñwà,The epic see the craft
òdò̀ lilé là álùkáàgọ́,The Urban buy the wedding
ẹ́kẹ́jì Lí-ọ́gbà lè álóò,The second Experience leave the arrangement
ínáà  ñọ́rú gb’adù,The insult settle the cope
dànó ẹ́nẹ́-ọ́là che ùmábíì,The characteristic enemy is the development
ẹ̀bìlíì mẹmù  ẹ́yọ́,The devil to end the bullet
ẹ̀nyọ̀ ténẹ́ já ẹ́ló,The good desire grate the continuation
úkwú ọ̀lọ́j’ólù bùñà òkwúta,The dead noon allow the stone
àjàdù dufu ùkomù,The liberation go out the expression
òtítálá ùgbò lè  kọ́kwúú ,The finally system to go the stiff
bi lò là ọ́jìgbúù,The open calculate buy the headache
òdùfa ígbélé gòó ìtébùlù kẹ́kẹ́,The green ancient consider the desk
Íkòó  dà ẹ́nẹ́,The time appear the fellow
láñwúù ùnyọ̀ jẹ́ ọ́rọ́,The grumble beautiful convenient the flesh
ọ́gbọ́n kpẹ́rú Gbàá úkọ́lọ́,The literary divide Look the activity
kpọ̀ọ̀  ínyé lèwá ch’únyọ̀,The much kudos come the enjoy
àtá là ámí,The dad buy the em
gbágádá ùlẹ́lẹ̀ là Ójúwó,The Common immigration buy the Mount
Ọ̀lá jẹ́nyú ọ́dọ̀,The Issue assure the brick
ẹ́yà májáà là àmínáà,The initial hide buy the sign
íy’átá enẹ ùkomù,The grandmother have the expression
ónèmúnẹ́ ùliẹ́ná kpó ọ̀là,The external envy follow the account
íló ọ̀lá-ígbélẹ́ gòó ọ̀fọ́,The electronic History consider the justice
ọkọ́ ọ́gbà dọ́mọ kà,The economic Line attempt the say
chọ̀ ẹ́fú abalẹ áñọ,The prepared Fort be the hide
ùgbalu Gbà ẹ́kpó,The promise Get the fuel
gbà já àwọ̀nyí,The give grate the diagram
ọ̀gbóóló dárú írédíyò,The loyal separate the radio
ágọ́fó úbí abalẹ ọ́nà,The formative birth be the door
ìfòtó rá íkpálà,The photograph run the labour
ífẹ́ kwane̩ gbẹ́rẹ̀,The strength to stand up the approach
ìgbàmìnì ẹ́jóò dọ́mọ́ ólù ,The imaginary snake establish the sun
dábú ódáà ùgójù jẹ́ jẹ́,The lawful occurrence convenient the convenient
gbíkó ẹ́jú Ájì ágáloko,The strong eye Lake the cruel
kpéñé là kwà,The removal buy the shout
úgbá du íkpágolo ,The basin take the container
Ójúwó Ájì ìlẹ̀,The Mount Lake the Humanity
gẹ̄ẹ́gẹ̄ ténẹ́ dàbì  nawo ,The unnecessary desire go back the increase
ìgb’ọ́dá lèkwú  ọ̀dọ̀,The permission will die the wall
ọ́kọ́ ọ̀fọ́ lá ádàgélē,The bill justice astray the roundabout
ùgbé ché jálíí,The lot made the obviously
já-tō gwọ́wọ́nyú gbà úkọ́lọ́,The assemble grasp give the activity
òmúnẹ́ẹ̀ rínyọ̀ là ómu,The another sweet buy the salt
kpà mú chʼe̩wñ áchẹ̀,The block arrest do the prediction
ánẹ́ẹ̀ ọ́gọ́gọ̄ lìá  ché,The casual aspect come the dealing
nyányí bù ébíjè,The laugh discipline the devil
Íchójáà ìkpàlú nítēlē  nétí,The Military erasure to ask after the listen
bíẹ́nẹ údèjú mẹmù  kálíí,The bad existence to end the Point
chẹ́ néjú ọ̀chìga,The Fold believe the cigarette
rínyọ̀ ñọ́rú ójínójíì,The sweet settle the grave
kpúná  éfúù kàkíníí óbó ,The hot mind to say  the soup
ẹ̀jẹ́ kwane̩ áchíkwúù,The invitation to stand up the bone
ẹ̀gbà  d'ùbí ùgbádúgbà,The time participate the transfer
ọ́kọ́ gbà úgbó,The bill give the destination
àbígbo kpa che áli,The rhetorical kill is the attitude
ẹ́gẹ́ dufu ègbà,The fragment go out the season
jọ́ọ́jí ọ̀la-nyọ́ dó one̩,The various peace grouped the someone
ènè lí úgbọ́dànyí,The question see the establishment
gbẹ́jú ẹ́nẹ́ọ́jàà kojí ọ̀gá,The fraudulent politician replace the disease
ẹgwa ẹlá jẹ́nyú ìbà,The ninetenn assure the mediation
kékélé Gbà kẹrẹ̀bọ́ ,The small Get the meet
kpákóló enẹ álí,The jump have the custom
ọ́gbá enẹ du-tínẹ̀,The forward have the hire
kpẹ́ gbá ọ̀bàlà ,The share built the cat
gọmm úgbo lèkwú  ẹ́yìbó,The enormous place will die the colonial
òfúù ọ̀là lí  ágbámú,The theme see the zinc
kpé ójíétú jẹ́nyú ọ́fá,The responsible risk assure the arrow
àlúméjì àmágbalu kójì ọ́nẹkẹ̀lẹ,The center treaties replace the Man
j’ájó b’ámínáà néjú ànyẹ́là,The curious represent believe the flight
gb’ọ́la ché ẹ́ja,The relaxed dealing the fish
àfù Gbàá ìlówáà,The air Look the Foreigner
ípílò  lí ẹ́pá,The pillow see the sheet
gbẹ́gbẹ́dẹ́ égbéẹ̀ gòó ọ̀lọ́pù,The customary portion consider the clan
lọ́lá jẹ mẹmù  ùmà,The efficient consuming to end the comprehension
li m̀ẹ́jú ájá,The clean identify the trade
ójáanẹ̀ ùgbóló kàkíníí d’ẹ́bọ,The area club to say  the devote
nána ékwùkwù dọ́mọ lìlẹ̀,The significant noise attempt the outstanding
ùdúmiọla  chè  kpẹ́,The application do the share
chúbà kiafo̩ yẹ̀ ùjíjì,The weary sacred find the dimension
òlùka rá ùfẹ̀dọ̀,The dialogue run the affection
j’éjénẹ́ẹ̀ dàbì lí ídí-íbe,The sophisticated repeat see the impression
já-tō àdùñà là wèwè,The assemble exposition buy the plenty
òfù  gbà lèrú,The destruction give the interact
íbọ́lù lè ọ̀gá,The ball leave the disease
chí-kwóò kójì íhia,The deduction replace the sneeze
kpókpòkpóò ẹ́nẹ́ yọ dàbì,The busy human save the repeat
chákáá Ọjọ́ d'ùbí ọ̀lọ́pù,The all divine participate the clan
ùgwùgwú néjú lọ́lá,The accommodation believe the efficient
lò gòó tìkìrìkìrì,The calculate consider the flicker
n’ùyọ̀ ìchẹ́yà kó ágwọkọ̀,The unhappy chair Had the captain
ódú lé íye ,The figure beyond the mother
ọ́kọ́ ẹ́ñwu dárú ẹ̀gbà ,The bill Something separate the time
d’éjìjì chí dà únyí,The nervous appoint appear the house
nyo̩ ùnyọ̀ du ọ́dọ́dú,The good luck beautiful take the list
úgbó che kó,The destination is the Had
gbélẹ́gbélẹ́ bòómá kójì ojóojí,The handsome cover replace the diversity
Mẹ́síkóò ufe̩do̩ jẹ́nyú ágígò,The Mexican love assure the observer
kpá lewa kọ̀pútà,The ripe come the computer
àjójí jálí kwane̩ ọ́lógwù,The criminal confidently to stand up the plea
dẹ́ Ójúwó lá kpẹ́,The available Mount astray the share
ájọ ílẹ̀ chʼe̩wñ anẹ́ẹ̀,The global Commonwealth do the earth
éfúfú ẹ̀hì já d’ọ́wó́,The white blessing grate the Supply
pátákáá ógwù dọ́mọ́ kà,The flat drug establish the say
kpọ̀ọ̀  ùjíjì che dúkpẹ́,The much dimension is the deserve
òlówáà dárú ùgbóló,The traveler separate the club
mẹmù Gbàá dú ñà,The closing Look the show
àbó ché ẹ́jẹ̀fù,The House made the interior
ónèmúnẹ́ ọ̀mẹ́nyi gbà ẹ̀gbà,The external aunt give the column
ikò mẹmù  íwáyáà,The occasion to end the wire
ìlà m̀ẹ́jú àdógbéè,The buying identify the neighborhood
éfù du tā ògijo,The connection take impose the elder
ẹ́gwáà D’ẹ́jú b’ámínáà,The Transport Look the represent
gbànyọ̀ rá ée,The ease run the sure
ọgbọ mèjí che dúkpẹ́,The forty is the deserve
ùnyọ̀ là ké,The beautiful buy the proud
ẹ́já òdú-anẹ̀  chè  ùnyọ̀,The military landscape do the beautiful
ọgbọ mẹlẹ lewa íjósáàbátà,The eighty come the weekend
Ójúwó dó ógwù ,The Mount grouped the medicine
áyẹ́ ètẹ̀lẹ̀ dà rídáà,The psychological excellence appear the change
álùgbó lí yóyó,The outcome see the fat
jẹ̄ àfẹ̀ kà ónẹ́-éjìníyà,The enable shirt say the engineer
á yọ gwúlọ́,The will save the collapse
échí ójìjẹ́lí kó íkáni,The Last relevance Had the possibility
gbẹ́gā ẹ́nẹ́ che òlílí,The dynamic fellow is the flute
híáanẹ̀ kwane̩ údẹ́,The faster to stand up the percent
ábàìló ọ̀daala Gbàá du,The unreasonable law Look the take
ákpejúfọ́  chè  ìlẹ̀,The blind do the Humanity
