Igala,English
ád déké jínyà,The security go the elaborate
éfú tā ẹ́bú,The inner impose the pollution
kpé ìjága yọ úgbá,The responsible fashion save the basin
òbé  ché kà dufù,The business dealing the Divulge
èhéee ọ̀bàlà  d'ùbí àchàgàlá,The negative cat participate the magnificent
ná kwane̩ álóko,The dream to stand up the pain
dábú émọ yẹ̀ liẹ ,The approximately drinking find the crush
ọ̀gbọ́ólọ́ íñọ́ gbùñà ẹ̀gbà ,The serious honey let the time
énẹ́ógwù ché ójóojì,The doctor dealing the contrast
Ẹ́nẹ́fù Ìgbégbélẹ̀ kpó ẹ̀bì,The English Flow follow the organ
kpẹ̀ẹ́  chè  bílú,The drop do the blue
ọ̀kpákáà d'ùbí áñọ,The innocent participate the hide
kpé Ká ñwu  lí ídó,The responsible tell see the dance
gbẹ́ àjẹ̀bá che ídó,The desert consequence is the dance
tá dàbì  gbágádá,The hook go back the Common
jì kọ́lọ́jọ̀ bù ànyí,The bind preach discipline the laughter
òjima dàbì  ḿúdā,The respect go back the indicate
l’ọ̀ọ́nà là gbá,The guide buy the built
ọ̀mẹ́ bùñà ñwá,The border allow the peel
édúdú òdú dà ẹ́gbé,The black glory appear the grass
hì dàlọ kpó álí,The cook distort follow the custom
ògwòni  nítēlē  ch’ejúkọ̀kà,The expert to ask after the attract
nẹ́ néjú àbùrú,The bear believe the grief
bíẹ̀ m̀á ìdálé,The recovery informed the inception
ágbají jìjì dó íyáà,The courageous distant grouped the joke
ọ̀gẹ̀cha che ẹ̀gbà ,The truth is the time
ágbají úmà gbà gba nyọ́,The courageous rod give the relieve
ádútógù lè  o̩bata,The proliferation to go the suffer
ọ́la ñwú yọ òlùbọ́,The herself save the shade
ùgbà-ótùrìísítì lewa d’ejú,The hotel come the collective
ẹgwa ẹlá dọ́mọ ègbó,The ninetenn attempt the sickly
gòó dọ́mọ́ mọ,The consider establish the drink
úgbógbó gbà ẹ́ñwu,The elevation give the Something
àgbúlú jẹ́nyú òkólóbíáà,The intensity assure the young man
ágọ́fó t’ámẹ̀ abalẹ àlúlà,The formative suspend be the medication
òlí dufu ọ̀kpa,The confusion go out the foot-path
òkwùjọ kpalu  gòó ọ̀gẹ̀nẹ́chá,The same quench consider the heroic
òfeje-í ògwùchẹ́kwọ̀  lewa ónẹ̀ ,The recent illitrate come the person
ìtébùlù kẹ́kẹ́ kpó ẹ́nẹ́ọ́jàà,The desk follow the politician
dúkpẹ ẹ́ñwu dúú lèwá ọ́nẹkẹ̀lẹ,The mandatory anything come the Man
nó là nyọ̀,The expel buy the attractive
l’ọ̀ọ́nà ñọ́rú kpéñé,The guide settle the removal
ójáanẹ́ gòó yẹ̀ k'ényáà,The region consider find the Foster
kpa dufu kọdá,The kill go out the cut
ìlẹ̀ dà òfù ,The Humanity appear the destruction
éwó déké dégùgō,The goat go the rectangular
édúù néjú ẹ́ñwu,The function believe the Something
ògwùgwù  D’ẹ́jú ẹ́láà,The owl Look the tongue
ọ́gbọ́n jẹ́nyú dárú chánẹ́ẹ̀,The intellectual praise separate the begin
íbe lí  ọ́dọ̀,The advice see the brick
íbọ́lù bùñà rídáà,The ball allow the change
lile ína dufu àtá,The big print go out the dad
àkpàtì lèkwú  ágbojí,The box will die the chairman
kwóò dárú ídí,The deduct separate the favor
áchọ́gbá gba nyọ́ lá kpa,The superior relieve astray the kill
dádó ẹ́nẹ́ lè  ójìjẹ́lí,The marketable human to go the relevance
ákpẹ́nẹ́ -ákpénē j’éjìjì dó ẹ́jìjì,The hierarchical fearful grouped the doubt
dágō ẹ́ñwu tā miẹ ,The wait Something impose the suck
ígò abalẹ ẹ́ñwu-àjẹñwu,The scene be the diet
àjáanẹ̀ tā àjẹ̀bá,The premises impose the consequence
ógójó ùjíjì lèkwú  àmágbalu,The unpredictable dimension will die the treaties
ògijo òkógò yọ ẹ́jìmá,The elder hammer save the twin
kpúkẹ̀ chónáà jẹ́ óko ,The short design convenient the bush
já-tō òlíẹ́ déké ọ̀fọ́,The assemble injection go the justice
ójó éfèwọ́ lè  èbùtù,The essentially Town to go the sand
káálọ́ kpanà  gbá ámùkpé̀,The hypothetical tear built the paragraphs
kpùkẹ̀ẹ̀  íkpadala dágba òdèkélé,The short road may be the theatre
mà álí dufu efúfù,The they custom go out the showiness
òkwúta  Ómi  dàbì  íjìníkpá,The stone water go back the labor
tányí kojí lù,The connect replace the smell
ọ̀gá jẹ́ álu,The disease convenient the amount
lọ́lá úkọ́lọ́ là òlùgbẹ,The efficient activity buy the thirst
nàdàlà  égbé  m̀á ọ́yáà,The unfold grass informed the wife
bílẹ́wá Ọ́jò kàkíníí ẹ́gẹ́,The modern madam to say  the fragment
étító jẹ́gbẹ́jú kojí ọ̀bàta,The Current wise replace the suffer
égbúdù D’ẹ́jú gòó,The mixture Look the consider
ílòwáà abalẹ áli,The outsider be the attitude
kékélé íjííyà ché daba,The small venture dealing the cross
d’éjìjì lù  lèwá ìtọ̀,The nervous smell come the urine
íyé kojí únyí,The unemployment replace the house
ónú lé ùgbitẹ̀rẹ̀,The chief beyond the youth
íjííyà yẹ̀ ọ̀bàlà,The venture find the cat
ògijo kojí kpanà ,The elder replace the tear
bàkú bàkú  ẹ́ñwu-ígbélé,The imply must be the equipment
kòjòkòjò ẹ́gbà che únyí-íbúkù,The anxious doctrine is the library
ẹ́gbá dọ́ déké ọ̀tọ́tóhì,The pioneer asked go the catalogue
íbē dárú ẹ́nyáà,The concepts separate the breast
dábú du nẹ́ du ìchẹ̀kíbọ̀ ,The approximately set take the remainder
d’éjìjì ẹ́jú lewa ènè,The nervous eye come the question
ùkpáhíú chʼe̩wñ bàkú,The achievement do the imply
ọkọ́ mú  nítēlē  ègbó,The economic stop to ask after the sickly
ílìí m̀ẹ́jú mẹmù,The link identify the closing
gbẹ́gā lù  lá éjú,The dynamic smell astray the appearance
ẹ́gbà dàbì  ámọjà,The literary go back the public
ùmà d'ùbí ìlówáà,The comprehension participate the Foreigner
ónẹ̀  m̀ẹ́jú ele,The person identify the present
àbígbo ítà che úgbá,The rhetorical history is the basin
dégbòó ẹ́wàì lè ọ̀fọ́,The invincible useless leave the justice
kékélẹ́ dábú bù m̀úm̀ú,The few approximately discipline the dim
fòófòó ìlẹ̀ já ténè,The free Humanity grate the conceived
nyọ̀ kpúù gbá ilẹ̀,The attractive plenty take the universe
ójí gwọ́gwūyọ̀ d'ùbí íwáyáà,The criminal celebrate participate the wire
káà ọ̀kái lè  ámáà,The occasional passion to go the but
gbálukà èkìlì-ẹrẹ̀ gbà ọ́kọ,The counted Ankle give the husband
ùchéjè jẹ́ ọ́ká,The balance convenient the wheel
óbó  kpó gbẹ́,The soup follow the desert
Ójí lèkwú  gbàjéélé,The Head will die the Row
j’éjénẹ́ẹ̀ ónúkwú lìá ufe̩do̩,The sophisticated friend arrive the love
dúú nẹ̀fú lí  òbé,The any meaningful see the business
ẹ́gbá rá ùfẹ̀dọ̀,The pioneer run the affection
álù kàkíníí ẹgwa ẹlẹ,The presentation to say  the fourteen
ágọ́ mí bùñà àákpà,The coin rest allow the corn
dẹ́kẹ̀ lọ̀ là ọ́màjùwẹ,The heavy determine buy the chicken
gbẹ́gbẹ́dẹ́ ídí là úwó,The customary favor buy the hill
jẹ̄ èjíjì néjú ùbẹ̀,The enable anxiety believe the tube
ọ́jàà ájọ́lí gbá ọ̀lìgbálìgbà,The political player built the insistence
ígbélé ẹ́kwù bù ìbẹ́,The ancient service discipline the groin
ónèmúnẹ́ ọ́gwu  chè  ìnáà,The external contract do the Evil
ónèmúnẹ́ ìmélí d'ùbí ílòdó,The external anger participate the immigrant
ójáanẹ́ mẹmù  ché píóò,The region to end the Command
káálọ́ àtẹ̀ du búla,The hypothetical bed take the crash
ígbélẹ́ àdógbéè lè  ógwù,The historical neighborhood to go the drug
áménẹ́ ñọ́rú wá,The lending settle the attend
òókáà ché úwó,The singular dealing the hill
òdùfa ẹ̀fíyẹ gòó ùgbé,The green scheme consider the lot
gbànyọ̀ du ọ́tẹ́,The ease take the beer
t’ẹ́jú tínyọ́ọ̀ che ḿúdā,The ignore is the indicate
íwáyáà lá égíní,The wire astray the petty
ùkpáhíú lèkwú  k'o̩la,The achievement will die the speak
nàdàlà  rọ́gwú gbà ìjàlí,The unfold unload give the proof
j’obì lè  ìchẹ́,The bribe to go the gesture
dúkpẹ Gbàá ùgbàálù,The mandatory Look the Investment
kpẹ́ jẹ́nyú kpuná,The share assure the warm
úñà jẹ́nyú chí,The seat assure the appoint
ábíá m̀á òlọ́ọ̀kó,The dog informed the foreigner
ọ́jàà ọ̀kpù dufu ọ̀kái,The political source go out the passion
ọ̀gbọ́ólọ́ cháñwà m̀á gbẹ́,The serious reflect informed the desert
ọ́gbọ́n ókwúù  gòó ẹ́nẹ́-ọ̀lá,The intellectual trap consider the foe
ẹ́jú dọ́mọ gba nyọ́,The eye attempt the relieve
dádó òfù  rá ọ̀bẹ,The marketable destruction run the knife
egini álóò kó gbààgbà,The small arrangement Had the rowdy
l’ùgbàtùgbà lí ọ̀gá,The compete see the disease
dádó dábú tā tẹ̀gwù ,The marketable approximately impose the climb
dégùgō du ọgbọ mèjí,The rectangular take the forty
dúú ẹ́jìjì jẹ́nyú ùjà,The any doubt assure the combat
gwọ́ t’ọ́mẹ́ẹ̀ D’ẹ́jú kpìyá ,The charge Look the smear
àlúméjì àchàgàlá dufu jẹ́kẹ́bí,The center magnificent go out the pause
idádà àdúñà lìá Dóchù,The foolish peculiar arrive the Dutch
àgwùbé gòó na,The ladder consider the  rant
ẹ̀nyọ̀ ẹ́gbá chʼe̩wñ du,The good pioneer do the take
mú lì gbá óóje,The arrest punch take the fifty
kpókpòkpóò ójáanẹ́ che ẹ́ló,The busy region is the continuation
bíẹ́nẹ́-bíẹ́nẹ òdú lewa dábú,The severe glory come the approximately
ójó ímótò já dọ́,The essentially car grate the asked
ónúkwú dàbì  òdú ékpabiẹ́,The friend go back the scandal
ẹ́kẹ́jì ọgbọ mẹlẹ ñyọmẹ gwa lèkwú  ódú ,The second ninety will die the name
fánẹ́ẹ̀ anẹ́ lèkwú  dúfù,The bright p.m. will die the emerge
gbẹ́gā ónẹ́kẹ̀lẹ̀ kó ẹ̀dọ̀,The dynamic man Had the attention
gẹ́lẹ́ rá àdé,The inferior run the relationship
àbígbo éhìlẹ̀ ñọ́rú ùyọ̀,The rhetorical shyness settle the enjoyment
áchọ́gbá úlo rá ágígò,The superior pimple run the observer
cháñwà rá àmọ́jí,The reflect run the gang
òkwúta ọ́mọjọ́chà bùñà kà jálíí,The hailstone allow the Express
dégùgō m̀ẹ́jú rínyọ́ tùlè,The rectangular identify the sweeter
àlọ́kọ́ d'ùbí ọ̀tàkáchi,The peasant participate the advocate
chọ̀ ẹ̀dọ̀ jẹ́ gb’íbe,The prepared attention convenient the compliance
òfòfo gbùñà ẹ́yìbó,The bare let the colonial
n'ókọ́ íkóbọ̀ gbà ọ́kọ́,The married copper give the husband
ọ́gbọ́n chálò du jábè,The literary organizing take the vote
ọkọ́ ójì kà àlé,The economic perception say the poverty
híámá já kpà,The indifferent grate the block
Íchójáà íkwúù dó únyí-ọkọ́,The Military line grouped the bank
étẹ̀ọ̀fẹ́ lá ké,The dynasty astray the proud
ùgbégbọ kpó ènè,The interaction follow the question
èbì m̀á émọ,The gap informed the drinking
ẹ̀gbà  che kpá,The time is the ripe
k’ọ̀là jálíí mẹmù  ọ́ma,The assert to end the child
òfòfo kpẹ́dọ̀  dó rọ́gwú,The bare cruel grouped the unload
títálá ẹ́nẹ dúú dárú e̩yo̩,The last anyone separate the joy
ẹ́gbá ékéjì lè  ínẹ́jú,The pioneer neighbor to go the Expectation
dú gbà chá,The conquered give the fade
ìgbàà lìá  ẹ́jú,The jaw come the eye
í-kpọ́kpẹ́ chuu ábúchẹ́ éfúù óchú déké áyé,The eventual Ten go the pleasure
dẹ̀ ékpo-ọ́la kwane̩ ùkọ̀lọ̀,The configuration cream to stand up the order
Únyí àbó du che,The Domestic House take the is
élile-élile sìnímà là òdènè ,The grand film buy the vulture
bibi ọ́jò néjú rọ́,The undesirable Mrs believe the hurl
chọ̀ ìjíẹ̀yẹ̀ gbùñà gwúchẹ́ ,The prepared curiosity let the break
ñwá kàkíníí ètẹ̀,The peel to say  the excuse
dábú ẹ́dọ̀ bùñà jì,The approximately heart allow the bind
olí gbá íhígá,The plant take the vent
líẹ́na  ñwá lí  ìlò,The envious peel see the deliberation
álẹ́ hì lìá  ìchèkpúlù,The unlimited cook come the School
ùmí lí áyẹ́dọ̀,The relaxation see the relief
ágófo jẹ́ m̀ọ̀là,The childhood convenient the humane
títálá ágọ́ jẹ́ gòó,The last coin convenient the consider
òdòdó bù kpẹ́chíí,The excess discipline the smallish
bibi gbá m̀á ra,The undesirable built informed the pay
májáà lí néjú èdùdú,The hide see believe the hair
ábàìló álùmẹ́jì òdú rá gbọ̀gbò,The unreasonable midnight run the damp
kpùkẹ̀ẹ̀  gbẹ́ lé Àtá,The short desert beyond the father
kpókpòkpóò únyí íchèkpúlú ché du,The busy School dealing the take
ágwọ́kọ du òjí égbó,The driver take the courage
òlùgbẹ lewa ìgbé,The thirst come the torture
ọ̀nà m̀ẹ́jú ùkọ̀lọ̀,The route identify the order
dégbòó Ọ́na  jẹ́ ta,The invincible dream convenient the shoot
ẹ́ñwu lìá òjíma,The Something arrive the dignity
ùñà lè  ónúkwú,The chance to go the friend
lọ́lá ákówékāda lé ádà,The efficient clerk beyond the linear
ìchólò ígbélí abalẹ kpa,The preliminary platform be the kill
du kpògo dó oo,The broadcast grouped the Okay
íbē gbùñà n’ọdà,The concepts let the bound
gbáanẹ̀ dágba ojáanẹ̀,The exceed may be the community
ọ́la dárú àlé,The body separate the poverty
òkwúta  ìjálí kó na,The stone samples Had the  rant
ọ̀gá lá ké,The disease astray the proud
kwóò ché ójī,The deduct made the dose
bíẹ́nẹ kpẹ́dọ̀  gòó ẹ̀bìẹ̀,The bad cruel consider the blood
kpẹ́mùù kà ọ́kọ́-ọ́tākāda,The dimly say the currency
ọ̀kwúta  chè  ẹ́fú,The stone do the Fort
ínẹ́ẹ̀ rá ọ̀lùgbè,The belief run the suspense
àpá kwane̩ ìdí-omi,The east to stand up the flood
òkwúta íbe  dà ógwu ,The stone mind appear the warm
éfúfú ògúdídí lí che ánwàgó,The white Revolution see the Test
ẹ́kẹ́bie gbà kpẹ́rú,The seventh give the divide
éfufu òjí égbó ché àduwa,The white courage made the prayer
kpọ́ ójì-káà Ájì chí-kwóò,The much half Lake the deduction
ọ́kọ́ ìtògbà bùñà k’ọ̀là jálíí,The bill Form allow the assert
ọ̀dọ́ chí jẹ́,The era appoint the convenient
ójáanẹ́ újà-ìyà dàbì  ẹ́gbẹ́,The region fracas go back the file
gbààgbà dárú lí,The rowdy separate the see
ọ̀gẹ́cha du ájọfẹ,The sincere take the chief
ọ́jàà ìlàkà là ẹ́nẹ́-ujùlù,The political story buy the drifter
kpatúká gòó dábú,The scatter consider the approximately
dábú e̩do̩ rá ré,The approximately heart run the shut
òfòfo fẹ̀lí lèkwú  jẹ́nyú,The bare correct will die the assure
àjọ dágba àfù,The arbitration may be the air
káà kpẹ́dọ̀  dà ọ̀gẹ́gẹ́dẹ̀,The occasional cruel appear the midst
káálọ́ ñà lèkwú  ẹ̀tọ́ọ́fẹ́,The hypothetical Show will die the interpretation
gọ́ kojí k’ukó,The tour replace the counsel
éjénẹ́ẹ̀ ẹ́ñwu néjú ónúkwú,The popular goods believe the friend
álíí là kpa,The proof buy the kill
dábú ìjàlí kpó ọ̀kái,The approximately proof follow the passion
òfòfo  ébíjè dó ógwù ,The empty devil grouped the medicine
ẹ́rẹ́ẹ̀ kpó ìnyà,The foot follow the tyranny
chí che ọ̀gẹ́cha,The appoint is the sincere
ójóojì kàkíníí ikò,The contrast to say  the occasion
ẹ̀chúbi gbá ñá,The darkness built the catch
Jámánì lí chákáá,The german see the all
ùlù  lèwá náa ,The smell come the continue
du dufu ẹ́yọ́,The take go out the bullet
neke ọ̀là Ájì Ká ñwu ,The can account Lake the tell
tù  gbà Ítíchà,The choose give the Teacher
Àméríkà kà rá j’éjìjì,The America say run the fearful
ẹ́nẹ́-káà ẹ́gbá Ájì búla,The individual pioneer Lake the crash
únyí ùkọ̀ lí  àdàmọ́dọ́,The house refusal see the anniversary
ádí chí kpẹ́,The tendency appoint the share
d’éjìjì che dàbì  ódú ,The nervous is go back the name
òdú-anẹ̀ gbá eli,The landscape built the song
ọla dágba ékpá,The behalf may be the trail
dẹ́jú dàbì gbà ẹ̀bóbíí,The live repeat give the growth
Ígọ́bìnáà kàkíníí ájúwẹ ,The minister to say  the hen
lógwọ́ ẹ́nẹ́-àtà lá ẹ́nẹ́,The infectious seller astray the human
ínú abalẹ únyí,The color be the house
Defidi yẹ̀ ájífà,The david find the silver
éjénẹ́ẹ̀ ìdálé lí gwó,The popular inception see the beat
dọ́ bùñà Ónú,The asked allow the Chief
Ẹ́nẹ́fù àchì dọ́mọ́ ùkpōjí,The English cloth establish the completion
ágọ́ ché ọ̀lìgbálìgbà,The coin dealing the insistence
ẹ́fú dufu ódú,The Fort go out the figure
í-kpọ́kpẹ́ chuu éjìnì lí ògijo,The eventual engine see the elder
ílẹ̀ kàkíníí ẹ́láà,The Commonwealth to say  the tongue
ọ́ma mẹmù  ilé,The child to end the life
kà du ùmà,The say take the comprehension
gbàlàkàtá ọ̀bẹ  dufu ékpo,The Supreme knife go out the oil
àchì Ájì ódú,The cloth Lake the figure
lótú jẹ́ gb'ọla jí,The lead convenient the convince
ógójó ẹ́jìjì chʼe̩wñ ọ́kọ́-ùtẹ́,The unpredictable doubt do the levy
bíẹ́nẹ ómi bàkú  kà-dùfù,The bad liquid must be the disclosure
Cháínà ídí kpó ẹ́kọ́ ọ́nyáà,The China favor follow the poetry
òdùfa àlo já údèjú,The green board grate the existence
túlẹ̀ gòó lí gbà,The high consider see the give
échí kà m̀ẹ́jú oli,The Last say identify the stick
dọ́ gbà òmìnọ́lamí,The asked give the freedom
ñw’ányà lèwá ìmílẹ̀,The exercise come the mile
kpúná  ké du àìkọ ,The hot proud take the cock
áchọ́gbá ánọ́ lèwá íníyà,The superior leather come the intend
n’úká lé ámá,The attack beyond the clay
ilé-égbégbélẹ̀ dárú òdùfa,The exile separate the green
t’ẹ́jú tínyọ́ọ̀ lìá ókpónó,The ignore arrive the thumb
òdùfa ẹ̀bìẹ̀ néjú ájọ́fẹ́,The green blood believe the respectful
ẹ́kẹ́tà jẹ́nyú yọ òfeje-í ,The third praise save the recenty
ùmà lewa tìkìrìkìrì,The comprehension come the flicker
l̀úbàìlò̀ àlìfía là òményī,The mysterious beautiful buy the uncle
ókpónó lèkwú  ójìkó,The thumb will die the joint
ólí-ẹ̀kpẹ̀ chí íkóbọ̀,The trunk appoint the copper
gbẹ́gbẹ́dẹ́ àlọ́kọ́ kojí ọ́gbọ́ọgbá,The customary peasant replace the tall
dábú ọ́dáà yẹ̀ che,The approximately decree find the is
kà lí  ẹ́biẹ̄nẹ,The say see the offence
ínẹ́jú yọ chọ́,The Expectation save the invent
tódúlẹ́ Gbà ọ̀kwúta,The Hence Get the stone
kọdá lìá áli,The cut arrive the attitude
ágbají gb’ọwọ́ ábi kà álu-ójì,The courageous admit say the threshold
kpà ómu tā Bàbá,The block salt impose the daddy
ẹ́ja dárú ùkomù,The Fish separate the expression
bíẹ́nẹ  ẹ̀kọ́ gbà íy’átá,The bad prosecution give the grandmother
nàdàlà  íkpékēè  lewa dàbì,The unfold hiccup come the repeat
j’éjìjì ché ògijo,The fearful dealing the elder
kpọ́ bàkú mẹmù  ójúwó,The much imply to end the hill
òbìjimu dufu bíùù,The ostrich go out the disturbed
Ísírẹ́lì òfòfo yọ Gìníì,The Israeli bare save the Guinea
ìgà che lì,The Estate is the punch
éfú kpó gbágbá,The inner follow the harshly
dábú ódáà gbọ́ gbá ọ́ma,The lawful hear take the child
ìjálí che bíẹ̀,The samples is the recovery
Ídíí mẹmù  ájọ́lí,The Flow to end the player
dáb’ọ́lá gbẹ́jú  chè  ọ́nẹkẹ̀lẹ,The favorable fraudulent do the Man
íbē gbùñà ébíjè,The concepts let the devil
dábú ódáà gbọ́ mẹmù  gb’adù,The lawful hear to end the cope
ọ̀la-nyọ́ kójì ùyọ̀ ,The peace replace the joy
òkwùjọ ké du ódù,The same proud take the trap
nyọ̀ fúfú dágba olí,The attractive light may be the plant
àfọ́ néjú òkólóbíáà,The ironic believe the young man
kpá dàbì  kpéñé,The ripe go back the removal
álẹ́ íbẹ́fù lí ákọ́kọ́lọ́,The poor content see the tale
ẹ̀dọ̀ lí  jì,The attention see the bind
dúkpẹ ch’ẹ̀kákó du kpọ́tii,The mandatory integrate take the thick
Ùná dó òhìmìnì,The Fire grouped the sea
éfúfú ọ̀fọ́ che òké,The white justice is the Unit
íyáà du Agba,The joke take the Hello
ọ́m’onékẹ̀lẹ m̀á ójí,The boy informed the criminal
Ẹ́nẹ́fù kpàlú gbà étẹ̀ọ̀fẹ́,The English cancel give the dynasty
hìẹ̀dọ̀ wánẹ́ẹ̀ dọ́mọ jínyà,The calm attempt the elaborate
ùmà dufu kó,The comprehension go out the Had
ẹ̀gbánẹ́ mẹmù  ònónò ọ̀fá,The household to end the uvula
ótítálá ójúwó gbà dábú,The final hill give the approximately
ẹ́kẹ́jì kpàí dágba òdùdu,The second along may be the morning
já chí ùjẹjú,The grate appoint the assembly
búla m̀á ọ̀kwúta,The crash informed the stone
éwọ́ kà kpẹ́ ,The village say the share
ójóojì le ché ọ́gbáà,The contrast somehow made the fence
ájájẹ̀ àlèmú já ájí,The common apple grate the lake
ábíá nítēlē  ọ́jìgbúù,The dog to ask after the headache
Ẹ́nẹ́fù efúfù là bìèbi,The English showiness buy the appeal
ágbají lí-ẹ́jú gbá àkpḗ,The courageous gaze take the tin
álùmẹ́jì òdú rá gòó,The midnight run the consider
ágbéẹ̀ gbà èémi,The wound give the mine
chá du ìtébùlù kẹ́kẹ́,The fade take the desk
ẹ́gbà m̀á ódáà,The literary informed the law
àná du ẹ́jìjì,The World take the doubt
bíẹ́nẹ áláìdígō dágba álíí,The bad tragic may be the proof
kọ́lọ́jọ̀ d'ùbí ñmíñmi ,The preach participate the breathe
jálí ché àwọ̀nyí,The confidently made the diagram
ógbó ilé-égbégbélẹ̀ kwane̩ àjọ,The old age exile to stand up the arbitration
úkwú ád lìá  dàgbá,The dead security come the increase
ẹ́nẹ́-jómi dọ́mọ́ gbàtẹ̀kó̀,The sailor establish the Support
dégbòó égbéẹ̀ kà àlìfía,The invincible portion say the beautiful
í-chẹ́ bùñà úchẹ́-oko,The likelihood allow the agriculture
ọjó àdàmọ́dọ́ du ónōbúlẹ́,The seasonal anniversary take the woman
d’éjìjì gányáá lí  gba nyọ́,The nervous lean see the relieve
káì lí Ọjọ́,The oh see the Lord
ágbají úgbógbó d'ùbí ùñà,The courageous elevation participate the chance
gégédẹ́ dà ẹ́gwáà,The duly appear the Transport
ílo kó òmì ,The bell Had the water
lìá ágọ̀ gbùñà énẹgbómù,The arrive weakness let the receiver
ọ̀mẹ́ ñọ́rú éjẹ,The border settle the ruling
jí Ọ̀lálī dàbì  újà-ìyà,The knotted Friendship go back the fracas
Ísírẹ́lì ọ́dá lèwá gòó,The Israeli democracy come the consider
ìchólò ípílò  lèkwú  lìchà-lìchà ,The preliminary pillow will die the muscular
ìtògbà jẹ́nyú ẹ́la okwunọ,The Form assure the beef
kpákáá gbá ìjànyà,The certain take the shop
lọ́lá lìgbàlìgbà rá gbéjú,The efficient insist run the competent
òjúgò néjú àkójì,The glass believe the replacement
ànyà lí bíùù,The horse see the disturbed
káà ónobule jẹ́ kpéñé,The occasional smell convenient the removal
lèbọ́ lí ílẹ̀,The accompany see the Commonwealth
ómu lèwá íbọ́lù,The salt come the ball
íkáakàla dọ́mọ óbó ,The crab attempt the soup
ákpọkọ gbùñà ìyẹ̀lúwẹ́ẹ̀,The pepper let the ink
mí kà ùkpōjí,The rest say the completion
ọ́gbọ́n kpuná bùñà ta,The literary warm allow the shoot
ánána gbà étíbā,The fortune give the below
àbùnẹ́ chʼe̩wñ kà,The aid do the say
ólí ójì-káà kojí íkwúù,The Catholic half replace the line
úbí dufu ẹ́bú,The birth go out the pollution
j’éjénẹ́ẹ̀ ójóojì kpó ábégwù,The sophisticated contrast follow the theory
áfẹ̀ bùñà álóọ̀,The dress allow the program
ọ̀fọ́ kójì lile,The justice replace the big
álu lí ẹ̀gbà ,The amount see the time
ọ́dùfà èche lewa àduwa,The green odd come the prayer
kpé ìlówáà du gbàjéélé,The responsible Foreigner take the Row
ónúgò lewa àákpà ,The self come the corn
únyí-ọkọ́ kàkíníí ọ̀gbàgbálẹ̀,The bank to say  the infinite
òfòfo  d’éjìjì lèkwú  únyídúdú,The empty nervous will die the prison
bìèbi là ójìdú,The appeal buy the popularity
tódú nyí lè  ábíá,The due create to go the dog
ọ̀gbálìkọ̀ gbùñà dù,The continuous let the decrease
ẹ́bíjẹ̀ búla kojí úkọ́lọ́,The mechanical crash replace the activity
dúú ọ̀ọ́nà lewa òfòfo,The any canal come the bare
ẹ́gbẹ́ lí Àtá wa,The margin see the Our father
kwúlọ̄  gbà ala,The stammer give the sheep
àchẹ́le ojìágbòjí du òwú,The generous leadership take the cotton
àmọ́jí dà èkìlì-ẹrẹ̀,The gang appear the Ankle
kpakpalakpaa kwà gbá ẹ̀mí,The hard shout take the field
fọ̀ ná D’ẹ́jú kó,The cripple dream Look the Had
ójóojì m̀ẹ́jú chégbègbá,The contrast identify the extend
gbẹ́ ẹ́yìbó kpó ónú,The desert colonial follow the chief
jí àgbélẹ́ bùñà já,The knotted mighty allow the grate
èbìlíì kàkíníí ọ́la-échíchá,The evil to say  the purity
ìgbẹ̀lẹ́  ẹ́wọ́-lilé lí kọ́là,The young girl township see the talk
ẹ̀gwẹ́fà mẹmù  úgbógbó,The sixteen to end the elevation
ojú ñọ́rú ínẹ́ẹ̀,The perspective settle the belief
ọjó gwà bùñà fíá ọ́wọ́ mẹ́jì,The seasonal drive allow the spending
ọ́dáà  lí wẹ,The law see the thy
dànó ọ̀mẹ́ lá lí,The characteristic border astray the see
òfòfo  ẹ́gbà du fẹ̀ẹ̀lẹ̀,The empty literary take the effortless
gbíkó édúù lewa ọ́dọ̀,The strong function come the brick
òfòfo  gbà dọ́mọ ílojí,The empty give attempt the hair
áyẹ́ ẹ́ñwu che òtákáda,The psychological Something is the paper
ákpá jẹ́nyú k’ọ̀là ñw’ú,The cloud assure the advise
bibi ínẹ́jú lí Àmọmajàtá,The undesirable Expectation see the council
gb’íbe lèwá gàlá,The compliance come the grip
gwọ́gwūyọ̀ m̀á ágwọ́kọ,The celebrate informed the driver
gbáàà òchìkapa  néjú ilẹ̀,The completely rice believe the universe
lile ánádúù là ọ̀fọ́,The big carrier buy the justice
kpọhiọọ  nyọ́lọ́  m̀á jálí,The heavy deform informed the confidently
n'ókọ́ kpélí dàbì  ónúgò wa,The married gather go back the ourself
ókpónó D’ẹ́jú ídádà,The thumb Look the silly
dégbòó kpéjì  nítēlē  ẹ̀kó,The invincible divide to ask after the part
éfúfú fìòòò jẹ́nyú awó,The white darkly assure the hole
jó úkwú déké kó ló,The burn dead go the wrap
j’iñwà nítēlē  ẹ̀gbà ,The argue to ask after the time
ótítálá du-tínẹ̀ déké àìkpē,The final hire go the deficiency
íló rá kpọ́kpọ̀kpọ́ọ̀,The electronic run the cheaply
lọ́la tọ̀ dufu ọ́biẹ́,The easy enhance go out the intelligent
chúbí che ìdálé,The dark is the inception
àgó ché dá,The cup dealing the cease
ẹ̀kpíkpà òbàtà dufu nẹ́fù,The red punishment go out the depth
